iter	RMSE
0	0.8736249063
1	0.8468764734
2	0.8200783832
3	0.7943361964
4	0.7709181034
5	0.7491982999
6	0.7268969887
7	0.7089719966
8	0.6884067046
9	0.6696717764
10	0.6508856327
11	0.6325855304
12	0.6138307702
13	0.5977925143
14	0.5798890122
15	0.564860652
16	0.5522551075
17	0.5389805383
18	0.5247333302
19	0.5121131955
20	0.5004219368
21	0.4873624984
22	0.4765403599
23	0.4645323898
24	0.4552320498
25	0.4488673869
26	0.4394082847
27	0.4306948781
28	0.4198722853
29	0.410143435
30	0.402553812
31	0.3949363629
32	0.3889219349
33	0.3814565366
34	0.3740281696
35	0.3681345414
36	0.3611039915
37	0.355249885
38	0.3500182455
39	0.3452211807
40	0.3398593314
41	0.3346707573
42	0.3294909851
43	0.3246184311
44	0.3199165758
45	0.3156564965
46	0.3113265828
47	0.3073659022
48	0.3039856874
49	0.3004809542
50	0.2968433307
51	0.2943612722
52	0.2916568984
53	0.2880848871
54	0.2853208092
55	0.2820412818
56	0.2793569113
57	0.2767115654
58	0.2740208527
59	0.2716779605
60	0.2692503368
61	0.2677941467
62	0.2659530511
63	0.2638810957
64	0.2622882161
65	0.2602779711
66	0.2583619103
67	0.2566358576
68	0.256161754
69	0.2547305195
70	0.2531593049
71	0.2515789703
72	0.2503834747
73	0.2490913467
74	0.2479397402
75	0.246373371
76	0.2450873756
77	0.2437333682
78	0.2421333213
79	0.2408423039
80	0.2394246823
81	0.2382835818
82	0.2374004341
83	0.2362267142
84	0.2354697616
85	0.2346530918
86	0.2336568553
87	0.2329791845
88	0.2317894621
89	0.2309562093
90	0.2302133083
91	0.2292392436
92	0.2287169669
93	0.2280228142
94	0.2271485873
95	0.2264891864
96	0.2263463428
97	0.2257081955
98	0.2249826056
99	0.2242131639
100	0.2234052947
101	0.2230676517
102	0.2228947554
103	0.2221785757
104	0.2212823541
105	0.2208752789
106	0.2200935281
107	0.2198233196
108	0.2192303316
109	0.218603627
110	0.2179720199
111	0.2172095859
112	0.2165973493
113	0.2160299544
114	0.2154205094
115	0.2148719526
116	0.2145883486
117	0.2139042915
118	0.213294495
119	0.2131865908
120	0.212499977
121	0.2119171685
122	0.2114702286
123	0.2108889914
