iter	Passed	Remaining
0	17	8690
1	37	9269
2	57	9539
3	78	9674
4	94	9373
5	111	9214
6	134	9480
7	157	9692
8	179	9783
9	200	9831
10	220	9788
11	241	9805
12	261	9806
13	282	9803
14	303	9820
15	323	9771
16	344	9793
17	365	9773
18	386	9796
19	407	9774
20	429	9787
21	448	9741
22	468	9709
23	489	9714
24	512	9742
25	525	9578
26	547	9593
27	578	9747
28	598	9720
29	625	9803
30	648	9816
31	667	9759
32	684	9687
33	711	9745
34	731	9715
35	750	9678
36	774	9689
37	795	9672
38	812	9602
39	833	9588
40	856	9584
41	877	9565
42	897	9540
43	921	9548
44	944	9554
45	966	9535
46	988	9529
47	1009	9506
48	1030	9481
49	1052	9476
50	1073	9447
51	1093	9416
52	1112	9385
53	1134	9373
54	1156	9353
55	1179	9348
56	1203	9351
57	1223	9327
58	1246	9316
59	1270	9316
60	1291	9294
61	1305	9225
62	1327	9205
63	1348	9183
64	1373	9191
65	1398	9198
66	1428	9230
67	1460	9279
68	1474	9212
69	1501	9221
70	1527	9229
71	1558	9262
72	1580	9245
73	1601	9221
74	1622	9196
75	1642	9163
76	1662	9132
77	1685	9118
78	1705	9086
79	1726	9063
80	1746	9035
81	1769	9020
82	1791	9002
83	1815	8992
84	1837	8970
85	1860	8958
86	1884	8946
87	1905	8921
88	1925	8892
89	1950	8887
90	1971	8862
91	1994	8843
92	2012	8806
93	2031	8774
94	2054	8757
95	2078	8747
96	2086	8669
97	2115	8676
98	2154	8728
99	2187	8749
100	2210	8732
101	2221	8668
102	2229	8594
103	2251	8571
104	2271	8545
105	2291	8515
106	2311	8491
107	2321	8425
108	2341	8400
109	2366	8391
110	2388	8369
111	2409	8346
112	2429	8320
113	2450	8296
114	2471	8275
115	2493	8255
116	2504	8198
117	2526	8178
118	2552	8172
119	2560	8107
120	2580	8082
121	2601	8058
122	2622	8039
123	2644	8018
124	2664	7994
125	2678	7951
126	2700	7931
127	2720	7906
128	2754	7921
129	2778	7908
130	2793	7867
131	2813	7843
132	2833	7818
133	2854	7797
134	2880	7788
135	2901	7766
136	2924	7749
137	2945	7727
138	2973	7721
139	2996	7704
140	3017	7682
141	3037	7658
142	3058	7635
143	3079	7612
144	3101	7592
145	3127	7584
146	3174	7622
147	3212	7639
148	3247	7650
149	3275	7641
150	3298	7623
151	3330	7624
152	3353	7605
153	3377	7588
154	3398	7564
155	3417	7536
156	3440	7515
157	3460	7489
158	3480	7464
159	3500	7439
160	3524	7421
161	3546	7400
162	3571	7383
163	3591	7358
164	3613	7335
165	3635	7314
166	3659	7296
167	3680	7272
168	3702	7250
169	3723	7228
170	3748	7211
171	3776	7202
172	3798	7179
173	3820	7158
174	3842	7136
175	3863	7111
176	3886	7092
177	3910	7074
178	3932	7052
179	3955	7032
180	3978	7011
181	4002	6993
182	4026	6974
183	4049	6955
184	4072	6934
185	4099	6920
186	4122	6899
187	4144	6878
188	4165	6853
189	4189	6835
190	4214	6818
191	4238	6798
192	4263	6782
193	4290	6768
194	4315	6750
195	4339	6731
196	4363	6712
197	4390	6695
198	4416	6679
199	4441	6661
200	4469	6648
201	4493	6628
202	4517	6609
203	4545	6595
204	4566	6571
205	4592	6554
206	4614	6531
207	4636	6509
208	4656	6483
209	4679	6462
210	4700	6438
211	4722	6415
212	4746	6394
213	4767	6371
214	4788	6347
215	4810	6325
216	4834	6304
217	4855	6280
218	4877	6258
219	4897	6233
220	4919	6210
221	4941	6187
222	4961	6162
223	4981	6137
224	5002	6113
225	5024	6091
226	5046	6068
227	5068	6046
228	5105	6041
229	5128	6019
230	5163	6012
231	5202	6009
232	5230	5993
233	5251	5969
234	5271	5943
235	5292	5920
236	5314	5897
237	5335	5873
238	5361	5854
239	5384	5833
240	5406	5809
241	5430	5789
242	5453	5768
243	5476	5745
244	5497	5722
245	5518	5698
246	5542	5677
247	5566	5656
248	5592	5637
249	5614	5614
250	5637	5592
251	5661	5571
252	5683	5548
253	5706	5527
254	5728	5504
255	5751	5481
256	5777	5462
257	5801	5441
258	5824	5419
259	5847	5397
260	5871	5376
261	5893	5354
262	5917	5332
263	5939	5309
264	5962	5287
265	5982	5262
266	6005	5240
267	6030	5220
268	6055	5200
269	6077	5177
270	6101	5155
271	6124	5134
272	6150	5114
273	6174	5092
274	6196	5069
275	6218	5046
276	6240	5024
277	6264	5002
278	6286	4979
279	6309	4957
280	6334	4936
281	6357	4914
