batchId,cultivar,maturationIndex,moistureContent,oilContent,defectIndex,malaxationTemperature,malaxationTime,waterFlowRate,waterToPasteRatio,yieldPercentage,totalPhenols,freeAcidity,peroxideValue,k232,k270,deltaK,fruity,bitter,pungent,isEvooCompliant
batch001,Cobrançosa,2.74,49.34,20.67,0.01,27.7,45.1,0.93,12.4,20.6,327.82,0.32,7.56,1.68,0.12,0.006,5.0,3.3,3.5,True
batch002,Cobrançosa,2.63,47.11,15.3,0.4,26.4,52.2,2.6,1.9,11.27,320.76,0.86,8.2,1.72,0.18,0.0071,4.9,3.4,4.0,False
batch003,Cobrançosa,2.31,46.59,18.99,0.07,28.2,30.1,1.61,2.2,18.29,531.46,0.31,4.37,1.45,0.12,0.0057,4.4,5.2,6.3,True
batch004,Galega,3.29,53.35,15.38,0.12,30.3,43.6,0.05,14.3,13.5,305.08,0.48,8.83,1.68,0.14,0.0075,3.3,2.7,3.8,True
batch005,Arbequina,4.32,49.63,16.72,0.54,25.4,51.2,2.06,10.5,12.28,222.94,1.12,8.41,1.66,0.22,0.009,4.5,2.4,3.1,False
batch006,Arbequina,2.89,56.63,18.51,0.0,25.2,40.8,2.64,12.3,16.98,327.63,0.27,5.73,1.58,0.12,0.0063,4.8,3.4,3.9,True
batch007,Picual,1.84,51.39,16.66,0.5,27.1,49.0,2.74,6.9,12.76,354.59,1.06,8.0,1.69,0.2,0.0087,4.9,3.5,4.0,False
batch008,Picual,2.88,53.22,21.11,0.08,29.7,53.9,1.27,5.8,15.85,316.62,0.44,10.18,1.88,0.14,0.0083,3.8,3.3,3.8,True
batch009,Arbequina,3.16,49.58,17.14,0.22,31.5,51.2,0.05,14.6,12.87,240.68,0.65,10.57,1.79,0.16,0.007,2.8,2.4,2.8,False
batch010,Cobrançosa,4.28,47.36,16.04,0.14,22.2,27.4,2.1,4.9,13.05,350.05,0.37,2.3,1.31,0.12,0.0039,4.8,3.6,4.4,True
batch011,Picual,2.73,49.49,21.15,0.22,27.6,40.9,0.13,14.2,19.29,340.21,0.61,6.35,1.66,0.15,0.0084,4.5,3.9,3.8,False
batch012,Galega,4.4,45.37,14.99,0.02,23.7,36.6,2.99,6.9,14.38,343.77,0.3,3.87,1.44,0.14,0.0054,4.8,3.5,4.5,True
batch013,Picual,3.55,50.62,18.96,0.27,23.2,44.0,1.15,9.0,15.37,301.64,0.67,5.26,1.5,0.17,0.0056,4.5,3.0,3.8,False
