batchId,cultivar,maturationIndex,moistureContent,oilContent,defectIndex,malaxationTemperature,malaxationTime,waterFlowRate,waterToPasteRatio,yieldPercentage,totalPhenols,freeAcidity,peroxideValue,k232,k270,deltaK,fruity,bitter,pungent,isEvooCompliant
batch001,Cobrançosa,3.36,45.61,18.83,0.14,24.6,38.2,0.28,10.8,17.15,329.22,0.45,4.03,1.46,0.13,0.0062,4.6,3.1,4.1,True
batch002,Galega,2.64,47.15,20.35,0.41,29.6,45.9,2.37,13.1,16.12,327.72,0.9,8.76,1.65,0.21,0.0086,3.7,3.2,3.9,False
batch003,Galega,1.84,46.98,16.35,0.23,21.0,28.5,0.34,3.0,11.91,493.87,0.54,2.0,1.35,0.15,0.0084,4.3,4.8,6.2,False
batch004,Cobrançosa,2.38,52.88,18.47,0.01,28.5,34.1,2.67,7.3,17.44,437.26,0.21,4.34,1.51,0.1,0.0085,4.2,4.2,5.3,True
batch005,Galega,2.75,51.26,20.71,0.02,27.6,26.2,2.48,8.7,18.9,435.35,0.25,3.33,1.43,0.13,0.0053,4.5,4.5,5.8,True
batch006,Arbequina,3.7,49.34,20.8,0.08,29.6,25.5,2.67,12.0,17.55,388.83,0.28,4.83,1.47,0.12,0.0047,3.3,3.7,5.1,True
batch007,Galega,3.2,53.66,17.74,0.12,29.1,46.2,2.44,9.3,15.82,322.88,0.44,8.85,1.69,0.15,0.0071,4.0,3.4,3.9,True
batch008,Arbequina,3.03,45.36,21.26,0.04,20.3,37.8,2.53,6.8,16.25,352.92,0.34,2.35,1.27,0.14,0.0031,4.3,3.6,4.3,True
batch009,Galega,3.2,55.42,15.46,0.43,27.8,28.9,1.3,4.1,11.55,468.68,0.87,3.4,1.43,0.18,0.0103,4.3,4.5,5.7,False
batch010,Cobrançosa,4.5,47.17,14.13,0.56,27.6,34.0,0.39,1.8,11.17,402.11,1.02,5.02,1.58,0.19,0.007,4.6,4.1,4.9,False
batch011,Galega,3.52,50.02,16.03,0.49,30.2,45.1,0.34,3.1,12.2,354.72,1.03,8.34,1.68,0.21,0.0103,3.4,3.5,4.5,False
batch012,Arbequina,4.1,54.32,20.69,0.3,22.9,29.2,0.44,4.0,15.9,379.42,0.66,2.59,1.46,0.16,0.0075,4.5,3.6,4.1,False
batch013,Picual,4.39,54.7,16.38,0.17,31.1,33.5,0.27,6.7,13.26,353.22,0.48,6.63,1.58,0.14,0.0074,2.9,3.1,4.0,True
batch014,Galega,2.14,46.86,16.64,0.03,24.0,41.4,0.86,14.5,15.95,320.89,0.33,5.91,1.59,0.13,0.0042,4.7,2.8,4.0,True
batch015,Arbequina,2.58,45.98,20.11,0.29,27.2,28.4,1.4,7.5,17.47,455.98,0.66,3.49,1.4,0.17,0.0075,4.7,4.9,5.1,False
batch016,Galega,2.94,53.74,19.73,0.53,23.3,28.5,0.09,11.4,13.71,376.38,0.97,2.0,1.39,0.2,0.0087,4.8,3.7,4.6,False
batch017,Galega,4.42,45.76,19.63,0.04,31.9,41.0,0.06,4.6,17.14,315.68,0.31,8.82,1.67,0.13,0.0069,2.4,2.9,3.8,True
batch018,Arbequina,2.13,57.36,21.54,0.74,25.1,33.8,1.75,2.4,13.91,483.23,1.32,2.6,1.27,0.22,0.0104,5.0,5.1,5.9,False
batch019,Cobrançosa,3.36,49.3,17.47,0.17,28.0,54.4,0.07,3.9,13.24,286.16,0.57,9.98,1.73,0.16,0.0067,4.5,2.8,3.6,True
batch020,Arbequina,2.16,50.83,15.81,0.28,25.4,53.5,2.25,8.7,11.51,293.46,0.71,8.24,1.72,0.19,0.0074,4.7,2.7,3.5,False
batch021,Cobrançosa,4.02,56.74,20.89,0.04,31.4,44.0,2.09,14.4,17.16,257.83,0.35,9.77,1.66,0.14,0.0046,3.1,2.3,3.2,True
batch022,Arbequina,3.74,56.74,20.75,0.51,31.4,39.5,2.62,11.4,13.94,304.58,1.02,8.7,1.6,0.22,0.0082,2.9,3.1,3.7,False
batch023,Galega,3.81,56.71,15.58,0.17,25.9,45.6,0.94,10.3,13.03,290.17,0.55,7.0,1.68,0.15,0.0068,4.9,3.0,3.5,True
batch024,Galega,2.11,51.36,20.31,0.06,30.1,51.9,1.14,1.0,16.79,390.23,0.4,10.1,1.74,0.14,0.0049,3.3,4.5,4.7,True
batch025,Cobrançosa,2.14,49.7,17.09,0.35,22.0,28.7,2.91,12.8,12.68,390.22,0.74,2.0,1.5,0.18,0.0072,4.2,4.0,4.9,False
batch026,Arbequina,4.45,48.72,15.19,0.2,20.5,31.7,1.97,3.0,10.73,371.79,0.52,2.0,1.35,0.14,0.0075,4.4,3.6,4.4,True
batch027,Galega,2.05,50.3,21.06,0.11,20.4,42.8,1.8,4.5,15.84,362.34,0.43,3.66,1.38,0.15,0.0066,3.7,3.5,4.4,True
batch028,Cobrançosa,3.04,55.58,19.68,0.02,27.0,48.8,0.04,11.4,17.91,277.0,0.31,8.67,1.66,0.14,0.0063,4.9,2.6,2.8,True
batch029,Cobrançosa,3.99,56.31,14.49,0.11,23.9,48.8,1.72,0.8,12.06,311.91,0.45,6.39,1.51,0.15,0.0068,4.6,3.3,3.7,True
batch030,Galega,3.67,48.71,21.83,0.04,31.8,35.9,2.32,1.2,18.93,400.67,0.31,7.43,1.52,0.13,0.0033,2.4,3.8,4.9,True
batch031,Galega,3.95,45.24,18.78,0.04,25.4,38.4,0.66,13.5,17.92,298.49,0.32,5.1,1.49,0.14,0.0046,5.1,2.8,3.1,True
batch032,Arbequina,2.66,51.17,21.4,0.67,24.0,27.6,0.47,0.4,14.72,478.42,1.21,2.0,1.43,0.23,0.011,4.9,4.8,5.7,False
batch033,Picual,1.95,46.35,15.09,0.03,23.3,35.6,0.48,4.5,13.92,443.09,0.29,2.12,1.3,0.14,0.0048,4.5,4.5,5.1,True
batch034,Picual,2.04,51.18,15.12,0.4,22.9,41.6,2.59,2.6,11.45,403.64,0.86,5.03,1.47,0.2,0.0106,4.4,4.0,4.8,False
batch035,Picual,3.94,49.86,19.4,0.15,21.5,48.9,2.93,9.4,15.1,233.82,0.51,6.4,1.6,0.14,0.0063,4.2,2.6,2.9,True
batch036,Arbequina,3.81,52.17,15.56,0.58,23.9,40.6,0.03,8.0,11.43,310.82,1.11,5.14,1.49,0.22,0.0095,4.6,3.1,4.0,False
batch037,Cobrançosa,2.72,54.43,20.37,0.13,29.7,30.5,1.14,14.2,18.11,386.49,0.37,5.49,1.52,0.14,0.006,3.5,3.7,5.0,True
batch038,Galega,3.73,52.42,19.51,0.36,30.1,34.4,2.18,14.9,15.35,318.9,0.77,6.8,1.55,0.17,0.0102,3.5,3.3,3.6,False
batch039,Cobrançosa,2.85,54.71,20.18,0.11,31.0,39.1,2.69,10.7,16.92,350.85,0.38,7.52,1.48,0.15,0.0063,2.9,3.7,4.1,True
batch040,Galega,2.2,48.05,16.94,0.15,21.1,36.9,2.95,1.2,13.05,422.85,0.47,2.87,1.42,0.15,0.0048,4.2,4.4,4.6,True
batch041,Cobrançosa,3.18,50.3,18.03,0.09,31.8,40.4,0.07,9.7,15.41,311.29,0.37,8.95,1.67,0.13,0.0046,2.7,2.8,3.9,True
batch042,Galega,2.77,49.63,19.17,0.5,29.6,26.7,2.68,9.1,13.8,460.17,0.96,4.95,1.46,0.2,0.008,3.5,5.0,5.9,False
batch043,Arbequina,4.22,47.68,16.66,0.3,23.7,49.6,1.98,2.8,13.1,274.12,0.78,7.62,1.59,0.18,0.0091,4.7,2.9,3.5,False
